CYEAR,CUID,CLNUM,F,C-,C,C+,B-,B,B+,A-,A,A+,AVGGPA
106_1,101 18701,%NOCLNUM%,3,0,0,0,0,1,2,5,2,1,2.886
106_1,101 211B1,01,7,10,3,7,7,11,12,26,28,23,3.266
106_1,101 211B1,02,3,11,6,7,6,18,15,15,23,23,3.251
106_1,101 212A1,01,8,7,6,4,11,10,17,16,11,2,2.834
106_1,101 212A1,02,7,7,5,9,12,15,8,18,6,8,2.857
106_1,101 22701,%NOCLNUM%,0,1,0,0,2,1,11,9,11,7,3.662
106_1,101 22801,%NOCLNUM%,2,0,0,0,0,0,2,8,13,12,3.778
106_1,101 24910,%NOCLNUM%,2,1,1,2,1,6,5,17,16,11,3.544
106_1,101 25101,01,10,1,0,0,4,7,15,38,42,30,3.541
106_1,101 25101,02,7,2,0,1,4,11,20,38,39,28,3.550
106_1,101 25211,%NOCLNUM%,4,0,3,3,6,12,10,14,9,6,3.160
106_1,101 25221,%NOCLNUM%,4,0,2,1,4,6,6,13,8,11,3.315
106_1,101 255A1,%NOCLNUM%,5,3,1,1,3,5,5,23,39,44,3.716
106_1,101 26001,01,7,2,3,3,8,17,18,44,51,52,3.603
106_1,101 26001,02,2,0,2,3,11,14,23,65,45,30,3.631
106_1,101 271A1,01,5,1,2,2,7,8,20,60,70,30,3.660
106_1,101 271A1,02,6,5,5,4,12,16,16,44,57,35,3.511
106_1,101 27701,%NOCLNUM%,6,2,4,3,3,10,12,40,41,14,3.468
106_1,101 28310,%NOCLNUM%,9,5,9,9,16,39,50,189,251,180,3.764
106_1,101 311A1,01,7,7,4,1,2,5,4,6,5,3,2.520
106_1,101 311A1,02,1,1,1,4,2,3,5,8,4,4,3.230
106_1,101 320A1,%NOCLNUM%,0,5,3,0,6,6,8,14,21,24,3.610
106_1,101 322A1,%NOCLNUM%,2,0,1,1,0,1,4,10,15,52,3.966
106_1,101 323A1,%NOCLNUM%,12,22,10,2,6,9,10,17,15,34,2.973
106_1,101 331A1,%NOCLNUM%,3,2,1,1,1,10,16,25,19,13,3.490
106_1,101 332A1,%NOCLNUM%,6,0,3,6,8,9,25,51,67,35,3.610
106_1,101 334A1,%NOCLNUM%,8,4,7,2,10,11,12,26,37,15,3.286
106_1,101 34001,%NOCLNUM%,0,1,2,0,2,1,4,6,8,4,3.525
106_1,101 35700,%NOCLNUM%,1,0,0,1,0,2,1,4,10,7,3.712
106_1,101 36201,%NOCLNUM%,7,3,1,0,3,8,6,39,79,29,3.680
106_1,101 36401,%NOCLNUM%,7,4,4,7,8,13,21,45,71,41,3.564
106_1,101 37401,%NOCLNUM%,16,8,6,5,13,20,30,73,71,21,3.329
106_1,101 40400,%NOCLNUM%,1,1,2,1,4,9,11,19,15,21,3.604
106_1,101 41101,01,2,0,4,5,1,5,5,3,6,2,2.952
106_1,101 41101,02,1,3,2,1,1,6,7,7,4,5,3.205
106_1,101 41201,01,9,9,3,4,8,15,10,23,10,18,3.051
106_1,101 41201,02,14,10,5,7,9,13,14,21,20,19,2.970
106_1,101 42200,%NOCLNUM%,1,1,2,4,8,13,9,26,19,9,3.436
106_1,101 42401,%NOCLNUM%,9,5,5,5,8,9,12,21,21,17,3.152
106_1,101 42800,%NOCLNUM%,14,42,32,27,43,69,92,195,204,91,3.403
106_1,101 42900,%NOCLNUM%,5,1,3,2,10,13,10,33,35,59,3.667
106_1,101 45601,%NOCLNUM%,0,0,1,0,2,5,0,5,5,2,3.475
106_1,101 45901,%NOCLNUM%,2,1,0,2,4,22,20,41,24,7,3.471
106_1,101 46001,%NOCLNUM%,0,0,0,1,1,1,2,9,11,13,3.889
106_1,101 46100,%NOCLNUM%,0,0,0,0,0,2,0,2,3,0,3.629
106_1,101 51110,%NOCLNUM%,0,1,0,0,0,1,0,0,8,25,4.120
106_1,101 51400,%NOCLNUM%,1,1,0,1,0,2,4,11,23,20,3.840
106_1,101 51410,%NOCLNUM%,6,0,1,0,1,4,6,13,25,30,3.647
106_1,101 51420,%NOCLNUM%,0,0,0,0,1,0,0,4,17,6,3.975
106_1,101 51500,%NOCLNUM%,0,0,0,0,0,0,0,4,8,3,3.980
106_1,101 51510,%NOCLNUM%,1,1,0,0,1,2,0,7,14,86,4.126
106_1,101 51520,%NOCLNUM%,0,1,0,0,0,0,0,1,4,19,4.124
106_1,101 52500,%NOCLNUM%,0,0,0,0,0,0,3,2,5,2,3.825
106_1,102 10370,%NOCLNUM%,0,2,1,1,3,4,8,19,14,6,3.557
106_1,102 14110,01,12,8,9,10,12,9,17,49,57,75,3.496
106_1,102E14110,02,2,10,11,11,11,26,22,42,65,58,3.525
106_1,102 14201,01,4,1,5,4,4,10,5,17,23,23,3.458
106_1,102 14201,02,2,0,2,5,1,9,10,30,22,8,3.501
106_1,102 14201,03,0,2,0,0,2,7,21,18,23,25,3.727
106_1,102 21111,01,9,11,14,4,7,29,5,40,62,163,3.707
106_1,102 21111,02,11,6,2,15,9,25,22,61,51,178,3.726
106_1,102 22111,01,0,1,2,0,6,4,8,20,18,61,3.905
106_1,102 22111,02,4,1,0,1,3,11,4,23,36,66,3.834
106_1,102 22111,03,1,0,1,1,6,11,17,38,58,42,3.787
106_1,102 22111,04,17,5,6,2,9,4,9,23,44,132,3.665
106_1,102 22111,05,2,1,3,5,6,6,10,24,34,113,3.907
106_1,102 22111,06,4,3,4,3,8,15,22,57,59,40,3.619
106_1,102 22111,07,1,0,0,3,4,9,21,53,59,49,3.803
106_1,102 22111,08,5,1,4,4,10,8,22,63,54,39,3.616
106_1,102 22111,09,14,12,6,8,6,17,14,32,37,42,3.251
106_1,102 22111,10,4,1,2,0,4,4,5,9,12,45,3.719
106_1,102 22111,11,1,2,1,4,9,18,19,41,56,37,3.672
106_1,102 22211,01,6,4,4,2,9,10,14,35,55,176,3.893
106_1,102 22211,02,5,1,7,7,10,12,10,33,43,157,3.849
106_1,102 22211,03,12,8,9,8,13,23,17,29,51,70,3.427
106_1,102 22211,04,4,2,2,8,5,12,22,39,69,74,3.740
106_1,102 22211,07,4,6,4,11,10,13,19,42,61,95,3.698
106_1,102 22211,08,1,1,5,4,8,14,16,43,49,90,3.807
106_1,102 22311,01,12,5,6,4,11,13,16,40,62,74,3.561
106_1,102 22311,02,6,4,6,7,7,15,17,44,49,57,3.579
106_1,102 22311,03,14,3,8,3,12,11,11,41,49,68,3.499
106_1,102 22311,04,6,5,4,6,3,5,17,38,39,83,3.704
106_1,102 22311,05,4,0,3,6,2,7,11,27,42,76,3.804
106_1,102 22311,06,2,1,1,2,1,8,8,33,30,84,3.910
106_1,102 22311,07,9,4,6,7,5,15,13,30,27,38,3.368
106_1,102 22311,08,4,0,2,0,3,11,8,30,54,86,3.880
106_1,102 22311,10,7,2,5,5,7,20,7,32,35,40,3.483
106_1,102 22311,11,2,1,1,1,3,4,1,2,11,12,3.484
106_1,102 22411,01,6,4,2,4,10,14,16,34,26,38,3.474
106_1,102 22411,02,2,4,4,7,2,7,18,16,34,37,3.595
106_1,102 22611,01,0,0,0,0,0,2,6,18,16,27,3.949
106_1,102 22711,%NOCLNUM%,0,0,2,3,3,0,4,16,44,46,3.942
106_1,102 22721,%NOCLNUM%,0,0,1,0,0,0,1,1,7,5,3.900
106_1,102E22811,%NOCLNUM%,6,0,0,1,0,4,8,10,7,13,3.298
106_1,102 22821,01,21,15,7,7,4,14,14,21,19,18,2.755
106_1,102 22821,02,3,1,3,1,7,8,11,20,25,35,3.629
106_1,102 22831,%NOCLNUM%,3,1,0,2,4,8,11,24,39,49,3.779
106_1,102 22841,%NOCLNUM%,2,0,0,1,4,3,5,16,23,28,3.783
106_1,102 22851,%NOCLNUM%,1,0,1,1,2,3,7,5,28,29,3.857
106_1,102 22861,%NOCLNUM%,3,0,1,0,1,2,2,7,19,53,3.944
106_1,102 23140,%NOCLNUM%,3,2,2,7,3,4,17,41,52,22,3.621
106_1,102 23160,%NOCLNUM%,4,0,0,0,0,1,6,17,14,11,3.566
106_1,102 23180,%NOCLNUM%,1,8,9,9,4,11,7,43,31,22,3.427
106_1,102E23190,%NOCLNUM%,7,3,3,3,2,8,5,10,22,20,3.312
106_1,102E23200,01,17,17,7,10,14,23,19,45,34,45,3.166
106_1,102 23200,02,11,15,8,13,11,17,15,33,23,14,2.974
106_1,102E23300,%NOCLNUM%,9,3,2,4,6,9,9,10,11,11,2.966
106_1,102E24110,01,3,0,0,5,9,14,27,57,35,15,3.529
106_1,102 24110,02,3,2,0,5,3,9,17,85,62,21,3.666
106_1,102 24430,%NOCLNUM%,1,2,1,1,3,2,4,8,17,6,3.520
106_1,102 24630,%NOCLNUM%,1,3,0,6,2,11,7,15,17,27,3.596
106_1,102 30280,%NOCLNUM%,2,0,1,0,0,0,0,9,26,9,3.787
106_1,102 31301,01,1,0,0,0,1,2,7,39,20,0,3.659
106_1,102 31301,02,2,0,1,3,5,10,15,24,16,3,3.387
106_1,102 31301,03,1,0,0,0,0,0,2,7,56,12,3.950
106_1,102 31301,04,0,1,0,1,0,1,9,33,30,0,3.717
106_1,102 31301,05,5,2,4,2,6,6,8,13,20,5,3.186
106_1,102 31301,06,0,0,0,0,0,3,2,16,31,32,4.005
106_1,102E31460,%NOCLNUM%,1,0,0,5,5,11,14,98,71,25,3.732
106_1,102 31621,%NOCLNUM%,0,0,0,0,0,1,1,1,3,12,4.089
106_1,102 31820,%NOCLNUM%,0,0,0,0,0,0,0,4,4,11,4.111
106_1,102 32121,01,3,1,2,4,3,13,9,23,35,45,3.698
106_1,102 32121,02,3,6,3,2,8,18,8,33,75,47,3.680
106_1,102 32121,04,2,0,2,1,1,4,4,7,15,30,3.774
106_1,102 32121,05,1,1,3,2,4,11,12,34,50,51,3.792
106_1,102 32221,01,0,4,0,1,2,5,9,24,39,85,3.962
106_1,102 32221,02,4,5,4,6,8,14,11,31,53,68,3.673
106_1,102 32221,03,9,1,4,4,4,10,17,33,65,143,3.837
106_1,102 32221,04,3,2,0,2,3,5,10,25,38,90,3.908
106_1,102 32221,05,1,0,1,0,7,8,11,19,30,44,3.807
106_1,102 32221,06,0,0,0,2,0,2,2,5,12,3,3.715
106_1,102 32321,01,1,2,1,6,4,9,11,31,33,32,3.674
106_1,102 32321,02,2,1,2,2,2,10,16,26,51,75,3.857
106_1,102 32321,03,9,4,4,4,8,8,11,19,38,40,3.450
106_1,102 32321,06,1,1,1,0,2,2,8,5,6,8,3.482
106_1,102 32421,%NOCLNUM%,0,0,0,0,0,0,4,15,11,33,4.041
106_1,102E32621,%NOCLNUM%,0,0,0,0,0,1,1,3,7,13,4.052
106_1,102 32831,%NOCLNUM%,2,0,2,1,7,4,7,10,9,12,3.424
106_1,102 32841,%NOCLNUM%,0,0,0,0,1,1,2,15,10,3,3.772
106_1,102 32851,%NOCLNUM%,0,0,1,0,1,1,1,1,7,1,3.615
106_1,102 32871,%NOCLNUM%,0,0,0,1,0,4,3,0,6,13,3.856
106_1,102 33990,%NOCLNUM%,3,1,2,3,5,10,10,23,37,39,3.683
106_1,102 34410,%NOCLNUM%,0,0,0,0,0,0,0,3,3,2,3.963
106_1,102 35200,%NOCLNUM%,2,0,0,0,0,0,3,5,13,4,3.615
106_1,102 39900,%NOCLNUM%,0,0,0,0,3,8,7,18,33,8,3.743
106_1,102 42131,%NOCLNUM%,3,0,0,1,4,11,12,32,32,33,3.703
106_1,102 42231,01,1,7,3,5,12,12,19,27,28,72,3.667
106_1,102 42231,02,6,3,5,5,12,15,20,40,48,64,3.602
106_1,102 42231,03,2,2,1,2,3,10,5,9,1,3,3.021
106_1,102 42331,01,0,4,0,3,2,6,6,20,47,32,3.804
106_1,102 42331,02,0,2,0,3,2,6,3,27,26,29,3.798
106_1,102 42350,%NOCLNUM%,1,0,0,0,0,2,4,9,33,13,3.877
106_1,102 42370,01,0,0,0,0,0,0,0,4,8,15,4.122
106_1,102 42431,%NOCLNUM%,0,0,0,0,0,0,0,1,3,18,4.232
106_1,102 42541,01,2,2,1,0,4,4,5,13,14,15,3.555
106_1,102 42541,02,1,1,2,0,3,2,1,11,5,3,3.334
106_1,102 42551,%NOCLNUM%,0,0,1,0,0,0,0,2,6,19,4.111
106_1,102 43030,%NOCLNUM%,0,0,1,0,4,7,6,12,8,6,3.541
106_1,102 43040,%NOCLNUM%,2,2,3,4,9,21,23,38,31,12,3.434
106_1,102 43980,%NOCLNUM%,5,6,9,3,6,28,39,70,85,81,3.648
106_1,102 44210,01,4,7,6,8,12,25,30,29,42,13,3.295
106_1,102 44210,02,6,9,7,3,11,11,29,68,48,28,3.448
106_1,102 46001,%NOCLNUM%,0,1,0,0,1,0,4,17,20,11,3.848
106_1,102 46101,%NOCLNUM%,0,0,0,0,0,0,0,0,10,83,4.268
106_1,102 48050,%NOCLNUM%,1,2,6,0,3,5,23,50,27,21,3.607
106_1,102E49111,01,0,0,1,1,2,5,8,21,21,7,3.680
106_1,102 49111,02,0,1,1,0,0,3,2,10,12,1,3.620
106_1,102 49111,03,0,0,0,0,1,2,8,31,25,7,3.782
106_1,102E49111,04,0,0,0,0,1,5,26,22,7,0,3.490
106_1,102 49111,05,0,0,0,0,0,1,2,35,31,0,3.813
106_1,102 49111,06,0,0,0,0,1,0,2,14,10,4,3.816
106_1,102E49111,07,1,0,2,0,4,4,7,16,8,0,3.360
106_1,102 49111,08,0,0,1,3,0,3,7,24,30,3,3.700
106_1,102 49111,09,0,0,0,0,0,5,0,9,20,12,3.911
106_1,102 49121,01,2,2,0,1,1,0,4,7,8,2,3.263
106_1,102 49121,02,0,0,1,3,5,6,6,15,8,4,3.435
106_1,102 49121,03,0,0,0,1,4,2,9,18,26,7,3.724
106_1,102 49121,04,2,0,0,0,0,0,9,17,23,23,3.831
106_1,102E49121,05,1,1,1,1,5,9,10,32,11,7,3.487
106_1,102 49121,06,3,0,2,3,3,10,14,26,13,0,3.289
106_1,102 49121,07,1,0,0,0,0,1,1,9,11,5,3.754
106_1,102 49121,08,0,0,3,0,0,2,4,10,11,4,3.629
106_1,102 49121,09,0,0,0,0,2,3,4,10,16,3,3.724
106_1,102 49131,01,1,0,0,0,3,2,2,6,8,0,3.405
106_1,102E49131,02,1,0,0,0,1,6,9,26,9,0,3.512
106_1,102 49131,03,0,0,1,0,1,14,17,13,8,1,3.404
106_1,102 49400,%NOCLNUM%,0,0,0,0,0,0,0,1,10,4,4.060
106_1,102 50040,%NOCLNUM%,1,2,0,2,16,13,27,16,22,16,3.437
106_1,102E50111,01,0,0,0,0,3,1,7,32,34,11,3.817
106_1,102E50111,02,0,0,1,0,0,1,4,34,32,14,3.863
106_1,102E50111,03,0,1,2,5,15,13,22,17,2,0,3.119
106_1,102E50111,04,0,2,0,0,2,3,8,31,33,7,3.733
106_1,102E50111,05,0,0,0,0,3,11,10,19,25,12,3.700
106_1,102E50111,06,0,2,0,0,2,6,13,31,22,7,3.645
106_1,102E50111,07,0,2,3,5,10,13,13,8,10,2,3.152
106_1,102E50121,01,1,0,0,0,0,0,1,2,19,65,4.161
106_1,102E50121,02,2,0,0,0,4,16,12,36,12,2,3.431
106_1,102E50121,03,0,1,2,2,8,4,15,13,14,9,3.474
106_1,102E50121,04,1,0,1,1,5,9,9,41,16,5,3.542
106_1,102E50121,05,0,0,1,0,6,15,29,11,3,3,3.301
106_1,102E50121,06,1,1,1,0,0,7,8,20,27,18,3.741
106_1,102E50121,07,0,0,0,2,4,16,14,19,11,9,3.501
106_1,102E50121,08,3,0,0,1,2,5,6,18,20,22,3.684
106_1,102E50121,09,0,0,0,0,0,2,3,11,14,13,3.919
106_1,102E53100,%NOCLNUM%,3,0,0,0,0,0,1,9,10,0,3.330
106_1,102 53620,01,0,1,0,0,3,10,19,51,30,12,3.673
106_1,102 53620,02,0,0,0,0,2,3,7,36,34,4,3.766
106_1,102 53670,%NOCLNUM%,0,0,0,0,0,1,2,18,26,4,3.871
106_1,102 53680,%NOCLNUM%,1,0,0,0,3,9,11,52,15,3,3.582
106_1,102 53690,01,0,0,0,0,1,0,4,17,28,11,3.903
106_1,102 53690,02,1,0,0,0,0,0,3,12,36,13,3.911
106_1,102 53780,%NOCLNUM%,0,0,0,0,0,0,2,8,22,8,3.965
106_1,102 53820,%NOCLNUM%,0,1,0,1,0,1,4,7,8,0,3.550
106_1,102 53990,%NOCLNUM%,1,0,0,0,0,0,0,3,1,1,3.233
106_1,102E83020,01,2,1,0,1,4,6,10,25,32,19,3.680
106_1,102 83020,02,8,6,9,5,5,8,13,30,26,12,3.170
106_1,102E83020,03,5,0,4,5,4,11,10,18,21,10,3.294
106_1,102E83020,04,1,1,1,4,11,26,42,18,9,8,3.274
106_1,102E83020,05,1,6,4,7,7,15,28,25,24,15,3.361
106_1,102E83020,06,1,1,0,3,2,5,11,20,13,10,3.550
106_1,102 83020,07,1,1,2,1,6,9,6,9,23,8,3.495
106_1,102 83020,08,0,0,1,1,0,6,7,8,4,4,3.490
106_1,102 83020,09,1,1,2,0,2,5,6,22,14,9,3.581
106_1,102E83020,10,3,0,0,0,3,11,13,16,6,7,3.344
106_1,102E83020,11,6,3,1,12,6,29,27,47,21,12,3.271
106_1,102 83210,01,0,2,2,2,5,11,9,44,59,27,3.746
106_1,102 83310,01,7,6,5,12,11,8,20,38,31,21,3.286
106_1,102 83310,02,6,3,6,11,15,17,28,28,23,18,3.221
106_1,102E83310,04,14,12,10,6,9,11,9,18,28,48,3.189
106_1,102 83310,05,1,0,1,3,3,2,12,16,29,24,3.747
106_1,102E83310,06,3,3,3,3,11,5,7,36,47,52,3.709
106_1,102E83310,07,1,2,1,5,1,8,11,38,51,55,3.821
106_1,102 83310,08,2,2,0,0,2,7,4,6,10,2,3.251
106_1,102E83310,09,2,0,0,0,0,1,6,13,39,9,3.794
106_1,102 83310,10,2,1,0,0,3,1,6,13,20,21,3.746
106_1,102 83310,11,1,3,1,5,1,10,6,12,16,13,3.462
106_1,102E83310,12,8,0,1,5,2,11,10,32,38,35,3.562
106_1,102E83310,13,0,3,2,2,5,4,3,4,18,22,3.659
106_1,102E83310,14,1,0,1,0,1,1,4,10,18,32,3.934
106_1,102E83310,15,0,0,3,4,3,14,11,14,44,44,3.785
106_1,102E83310,16,1,1,1,0,0,2,9,18,14,20,3.758
106_1,102E83310,17,2,0,1,0,3,3,13,29,62,67,3.919
106_1,102 83310,18,1,1,2,1,1,5,10,37,52,33,3.815
106_1,102 83310,19,0,3,5,3,6,7,11,25,37,35,3.686
106_1,102 83310,20,0,2,3,6,3,9,7,16,59,76,3.886
106_1,102E83310,21,0,0,0,0,0,4,3,8,17,13,3.898
106_1,102E83310,22,4,1,4,2,4,9,25,56,43,18,3.561
106_1,102E83310,23,2,2,1,2,5,7,32,53,56,15,3.627
106_1,102 83310,24,0,1,1,1,3,1,9,6,15,23,3.798
106_1,102E83310,25,2,4,3,2,8,11,24,42,26,21,3.503
106_1,102 83310,27,2,0,1,7,7,8,31,33,28,20,3.528
106_1,102E83310,28,0,1,0,2,1,0,5,6,12,21,3.875
106_1,102E83310,29,6,0,2,5,3,5,17,27,37,25,3.544
106_1,102 83310,30,0,0,0,3,3,11,24,76,62,24,3.742
106_1,102E83310,31,1,1,0,3,6,4,19,46,61,24,3.739
106_1,102E83310,32,1,0,1,2,1,6,12,42,72,32,3.834
106_1,102 83310,33,4,6,3,7,5,12,15,45,48,26,3.518
106_1,102E83310,35,2,1,2,3,2,12,6,31,36,42,3.745
106_1,102E83310,36,2,2,4,2,3,8,27,75,30,15,3.567
106_1,102E83310,37,0,0,0,0,8,10,13,28,49,20,3.751
106_1,102 83310,38,3,2,1,2,5,11,14,12,34,15,3.511
106_1,102 83310,39,0,0,0,1,0,2,4,12,18,29,3.979
106_1,102E83310,40,0,15,4,7,10,14,8,11,5,0,2.780
106_1,102 83310,41,2,0,2,3,4,7,11,25,47,59,3.833
106_1,102E83310,42,3,2,2,2,5,9,14,30,68,24,3.679
106_1,102 83310,43,1,0,0,1,0,1,3,8,24,30,3.968
106_1,102E83410,01,1,5,13,5,11,15,10,18,26,24,3.340
106_1,102E83410,02,0,3,3,3,3,12,16,48,66,19,3.689
106_1,102E83410,03,2,1,1,2,3,15,22,63,46,12,3.609
106_1,102E83410,04,0,0,0,0,2,1,6,11,30,17,3.910
106_1,102E83410,05,0,0,0,0,4,1,1,19,49,90,4.088
