004 20110,02,6,8,13,8,7,19,27,48,46,39,3.404
004 20110,03,9,1,9,19,16,31,37,47,16,13,3.109
004 20110,04,14,5,13,12,21,37,22,33,12,3,2.822
004 20110,05,7,5,5,5,7,22,37,58,50,31,3.458
004 20110,06,6,4,6,8,20,21,22,44,31,4,3.198
004 20310,01,5,9,13,3,19,26,25,15,12,4,2.906
004 20310,02,1,12,10,7,19,30,21,25,11,3,2.996
101 11500,,23,6,8,9,21,40,32,102,137,31,3.393
101 11500,,23,6,8,9,21,40,32,102,137,31,3.393
101 13400,,0,0,0,0,1,1,2,7,12,5,3.846
101 14101,01,4,2,0,2,4,9,10,15,22,10,3.401
101 14101,02,2,1,1,3,2,6,11,29,21,5,3.495
101 14201,,1,10,2,3,3,8,6,6,10,22,3.332
101 15811,,2,3,5,5,5,7,15,31,22,5,3.348
101 15821,,3,4,1,3,1,10,9,14,16,16,3.412
101 18101,01,7,0,0,0,0,0,12,44,66,20,3.707
101 18101,02,7,1,0,0,2,7,17,64,52,20,3.618
101 18701,,3,0,0,0,0,1,2,5,2,1,2.886
101 211B1,01,7,10,3,7,7,11,12,26,28,23,3.266
101 211B1,02,3,11,6,7,6,18,15,15,23,23,3.251
101 212A1,01,8,7,6,4,11,10,17,16,11,2,2.834
101 212A1,01,8,7,6,4,11,10,17,16,11,2,2.834
101 212A1,02,7,7,5,9,12,15,8,18,6,8,2.857
101 212A1,02,7,7,5,9,12,15,8,18,6,8,2.857
101 22701,,0,1,0,0,2,1,11,9,11,7,3.662
101 22801,,2,0,0,0,0,0,2,8,13,12,3.778
101 24910,,2,1,1,2,1,6,5,17,16,11,3.544
101 25101,01,10,1,0,0,4,7,15,38,42,30,3.541
101 25101,02,7,2,0,1,4,11,20,38,39,28,3.55
101 25211,,4,0,3,3,6,12,10,14,9,6,3.16
101 25221,,4,0,2,1,4,6,6,13,8,11,3.315
101 255A1,,5,3,1,1,3,5,5,23,39,44,3.716
101 26001,01,7,2,3,3,8,17,18,44,51,52,3.603
101 26001,02,2,0,2,3,11,14,23,65,45,30,3.631
101 271A1,01,5,1,2,2,7,8,20,60,70,30,3.66
