002 50390,28,4,0,0,2,8,5,22,28,30,12,3.505
002 50390,29,2,0,0,3,7,11,12,35,33,14,3.591
002 50390,30,6,0,0,4,5,11,19,24,33,13,3.436
002 50440,24,1,0,1,4,1,6,7,27,23,8,3.606
002 50440,25,2,1,1,2,2,8,5,18,30,5,3.545
002 50440,26,1,0,0,0,3,1,2,7,21,3,3.697
002 50630,D5,2,0,0,0,1,1,3,6,13,7,3.633
002 50630,D6,0,0,0,0,0,0,0,24,10,5,3.854
002 50780,06,3,1,2,0,3,5,10,44,82,46,3.829
002 50780,07,4,1,1,1,6,7,10,85,63,25,3.696
002 50780,08,1,0,3,1,8,10,20,78,54,12,3.648
002 50780,09,5,1,1,2,6,12,28,151,115,36,3.715
002 50780,11,4,1,3,2,3,10,12,162,94,28,3.717
002 50780,12,4,0,0,1,0,3,19,96,36,17,3.672
002 50780,13,2,0,0,0,0,2,8,53,41,11,3.759
002 50780,14,0,0,0,0,3,3,5,81,65,25,3.851
002 50780,17,2,2,4,1,4,10,5,38,95,44,3.809
002 50780,18,1,0,1,1,2,8,5,20,41,21,3.785
002 50780,19,2,1,0,1,4,4,9,16,22,9,3.565
002 50780,89,0,0,0,0,0,0,0,1,20,19,4.135
002 50790,91,0,0,0,0,0,0,0,0,23,42,4.194
002 50900,99,0,0,0,0,2,11,13,45,55,32,3.832
002 50900,A1,0,2,0,1,3,3,11,30,36,24,3.794
002 50900,A8,0,0,0,0,0,1,3,8,4,28,4.066
002 50900,G6,0,0,0,1,2,1,5,12,24,99,4.12
002 50900,G7,0,0,0,1,2,2,3,4,7,27,3.967
002 50910,K4,2,0,0,0,0,0,0,6,18,24,3.948
002 51060,32,0,0,0,0,0,0,0,0,21,12,4.109
002 51060,33,0,0,0,0,1,0,1,0,26,8,4.011
002 51060,34,5,0,0,0,2,3,2,15,58,60,3.907
002 51060,35,0,0,0,0,0,1,1,9,33,40,4.09
002 51260,22,1,0,0,0,0,1,0,6,17,3,3.789
002 51260,23,0,0,0,2,2,1,5,9,13,4,3.667
002 51260,52,1,2,4,4,9,12,7,7,4,1,2.945
002 51260,53,2,4,3,4,13,23,19,20,9,2,3.105
002 51260,H1,1,0,0,0,1,1,1,7,10,66,4.123
002 51260,H2,1,0,0,1,2,0,1,5,8,21,3.892
002 51270,54,0,1,1,1,3,1,4,10,11,5,3.589
004 20120,01,11,14,18,23,26,33,28,53,30,14,3.002
004 20120,02,7,1,9,8,9,33,26,41,31,20,3.291
004 20120,04,14,9,12,21,28,30,17,13,8,4,2.606
004 20120,05,0,0,0,2,4,4,4,13,17,4,3.623
004 20120,06,10,4,13,11,23,28,21,30,10,0,2.83
004 20320,01,3,3,6,9,15,21,14,11,5,6,2.946
004 20320,02,7,5,3,10,27,23,18,20,12,3,2.92
101 11500,,23,6,8,9,21,40,32,102,137,31,3.393
101 12500,,48,18,6,15,39,102,171,216,193,59,3.319
101 14102,01,0,0,0,1,4,1,3,14,15,5,3.705
101 14102,02,0,0,0,0,4,7,4,6,10,5,3.575
101 14202,,0,2,3,2,4,4,6,5,12,6,3.384
101 15812,,3,1,3,1,3,12,11,17,14,6,3.311
101 15822,,2,3,0,0,0,2,7,15,18,18,3.678
101 18102,01,1,1,1,0,0,3,4,32,38,16,3.803
101 18102,02,1,1,0,1,1,5,7,38,28,20,3.759
101 18702,,1,0,0,1,0,0,1,1,5,2,3.445
101 211B2,01,5,8,6,1,4,7,10,9,24,17,3.243
101 211B2,02,5,2,4,5,7,8,5,8,17,17,3.244
101 212A2,01,0,5,1,7,4,3,6,11,3,1,3.005
101 212A2,01,0,5,1,7,4,3,6,11,3,1,3.005
101 212A2,02,2,2,3,0,6,5,6,7,6,6,3.165
101 212A2,02,2,2,3,0,6,5,6,7,6,6,3.165
101 22702,,0,1,1,0,5,10,3,5,3,5,3.306
101 22802,,1,1,1,0,1,0,2,6,3,8,3.548
101 24920,,0,1,0,1,1,1,1,10,10,8,3.77
101 25102,01,3,2,1,1,8,10,9,17,19,18,3.469
101 25102,02,3,2,3,2,6,8,10,20,25,15,3.465
101 25212,,2,0,1,2,9,5,11,11,7,4,3.233
101 25222,,1,0,0,3,3,4,4,11,9,9,3.536
101 255A2,,1,2,1,2,1,2,4,17,34,34,3.847
101 26002,01,4,0,1,1,5,12,17,31,37,45,3.7
101 26002,02,2,1,1,1,6,11,21,50,55,8,3.615
101 271A2,01,5,1,1,5,3,15,9,53,40,28,3.591
101 271A2,02,3,3,7,4,3,18,14,22,44,23,3.496
101 27702,,8,0,4,0,1,3,8,21,45,18,3.53
101 28320,,12,4,3,3,18,25,43,165,169,109,3.703
101 28320,,12,4,3,3,18,25,43,165,169,109,3.703
101 311A2,01,2,5,1,3,2,6,4,9,3,8,3.109
101 311A2,02,2,2,3,4,2,3,3,5,2,4,2.887
101 320A2,,2,1,0,2,5,2,1,6,12,12,3.509
101 322A2,,1,2,1,2,0,3,4,11,14,36,3.834
101 323A2,,1,9,6,9,6,7,2,9,15,20,3.227
101 331A2,,0,1,0,0,1,6,6,15,11,16,3.759
101 332A2,,0,2,0,3,5,8,9,37,35,22,3.711
101 334A2,,2,1,1,1,2,4,4,9,35,6,3.626
101 34002,,0,1,0,0,1,2,2,5,2,2,3.473
101 36202,,3,2,0,1,2,7,3,19,42,30,3.755
101 36402,,2,2,1,0,2,10,8,29,41,33,3.753
101 37402,,7,7,4,5,6,18,22,43,61,17,3.423
101 376A0,,0,0,0,1,0,0,4,9,19,6,3.862
101 41102,01,2,0,3,2,3,3,5,2,9,2,3.103
101 41102,02,1,3,1,4,2,6,5,7,2,3,3.029
101 41202,01,7,1,9,1,1,10,10,12,17,12,3.146
101 41202,02,3,4,2,7,4,6,5,6,13,11,3.175
101 42402,,4,3,5,1,6,6,11,12,18,6,3.196
101 42700,,1,0,0,0,1,2,2,5,3,3,3.453
101 42800,,14,42,32,27,43,69,92,195,204,91,3.403
101 42800,,14,42,32,27,43,69,92,195,204,91,3.403
101 42920,,2,0,0,1,0,1,0,3,1,8,3.425
101 45902,,0,0,1,1,1,5,3,14,27,11,3.794
101 46002,,1,0,0,0,3,3,6,5,8,10,3.622
